index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
8558,1,the witch,robert eggers,"anya taylor joy, ralph ineson, kate dickie, harvey scrimshaw, ellie grainger, lucas dawson, bathsheba garnett, sarah stephens, julian richings, wahab chaudhry","united kingdom, canada, united states",2015,r,92,"horror movies, independent movies","believing that a witch has cursed their family, pilgrims homesteading on the edge of a primeval new england forest become increasingly paranoid.",3
8559,1,the witch files,kyle rankin,"holly taylor, alice ziolkoski, britt flatmo, paget brewster, tara robinson, adrienne rose white, greg finley, valerie mahaffey, jared boghosian, william bornkessel",united states,2018,tv 14,88,"horror movies, thrillers","a disparate group of teenage girls discovers how to obtain supernatural abilities, but abusing their newfound power has disturbing consequences.",2
8560,0,the womanizer,nan,"lan cheng lung, sonia sui, james wen, bianca bai, george chang, chung hsin ling, tzu chiang chao, xiao xiao bin",china,2010,tv ma,1,"international tv shows, romantic tv shows, tv comedies",libertine he jie finds himself torn between the lovely amanda and fiery xiao qian. but now he faces a new problem arrogant rival suitor cheng en.,1
8561,1,the women who kill lions,neil rawles,nan,united kingdom,2016,tv ma,47,"documentaries, international movies",experience an up close look at the controversial passion and resulting infamy of big game hunters rebecca francis and jacine jadresko.,2
8562,1,the women s balcony,emil ben shimon,"evelin hagoel, igal naor, orna banay, einat sarouf, avraham aviv alush, itzik cohen, yafit asulin, sharona elimelech, herzl tobey, haim znati",israel,2016,tv pg,100,"comedies, dramas, faith spirituality","a conservative rabbi steps in to lead a congregation reeling from an accident, but his controversial plans incite a gender war among the congregation.",1
8563,1,the workshop,laurent cantet,"marina fois, matthieu lucci, warda rammach, issam talbi, florian beaujean, mamadou doumbia, julien souve, melissa guilbert, olivier thouret, leny sellam",france,2017,tv ma,114,"dramas, international movies","in an old shipyard town in france, sociopolitical tensions beset a writing workshop where the instructor notices a student with a dark side.",1
8564,1,the world is not enough,michael apted,"pierce brosnan, sophie marceau, robert carlyle, denise richards, robbie coltrane, judi dench, desmond llewelyn, john cleese, maria grazia cucinotta","united kingdom, united states",1999,pg 13,128,action adventure,"greed, revenge, world domination it s all in a day s work for james bond, who s on a mission to protect an oil heiress from a notorious terrorist.",3
8565,1,the world s most wanted animal,victoria bromley,maria diekmann,united kingdom,2018,tv pg,53,documentaries,"a conservationist shares her emotional journey in helping save rare, scaly mammals that have been illegally trafficked and now face extinction.",2
8566,1,the wrong babysitter,george mendeluk,"daphne zuniga, seann gallagher, lisa marie caruk, matt bellefleur, ava hughes, britt irvin, lochlyn munro",canada,2017,tv 14,89,thrillers,"a widow searches for her missing teenage daughter, not knowing that her seemingly helpful neighbor is hiding a terrible secret.",1
8567,0,the year of happiness and love,nan,"amber kuo, james wen, weber yang, sonia sui, nien jen wu, kay huang, tsai chen nan, lin mei hsiu",taiwan,2009,tv pg,1,"international tv shows, romantic tv shows, tv comedies","jiang chen bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family s upturn in fortune.",1
8568,1,the young offenders,peter foott,"alex murphy, chris walley, hilary rose, dominic machale, p.j. gallagher, shane casey, pascal scott, michael sands, ciaran bermingham",ireland,2016,tv ma,83,"comedies, international movies","never ones to think things through, two irish teens steal bicycles and set off to the coast to find a bale of cocaine from a smugglers capsized ship.",1
8569,1,the young vagabond,sze yu lau,"chia hui liu, wong yu, jason pai piao, lung wei wang, hoi shan kwan, feng ku, san nam hung, kuo hua chang, feng kuan",hong kong,1985,tv 14,85,"action adventure, comedies, international movies","to avenge his master, a wine loving young man steps up his fighting skills to defeat a powerful thief in a life or death match.",2
8570,1,theater of life,peter svatek,massimo bottura,canada,2016,tv pg,94,documentaries,this documentary follows chef massimo bottura as he opens a soup kitchen to cook gourmet meals for the needy from food waste at the 2015 milan expo.,1
8571,1,theeram,saheed arafath,"pranav ratheesh, maria yohannan, askar ameer, tini tom, anjali nair, krishna prabha, sudhi koppa, nandhan unni",india,2017,tv 14,104,"dramas, international movies, romantic movies","an auto rickshaw driver harbors a deep affection for a young woman, but his troubled past threatens to stand between them.",1
8572,1,"thelonious monk straight, no chaser",charlotte zwerin,"thelonious monk, samuel e. wright",united states,1988,pg 13,89,"documentaries, music musicals",the spotlight shines on iconic jazz pianist and composer thelonious monk in this 1988 documentary featuring vintage performance clips and interviews.,2
8573,1,theo who lived,david shisgall,nan,united states,2016,tv 14,86,documentaries,american journalist theo padnos retraces the middle eastern journey that led to his 2012 kidnapping and brutal torture by an al qaida faction.,2
8574,0,thirteen terrors,nan,"thanapatpisal sananthachat, panisara montharat, sutatta udomsilp, teetatch ratanasritai, fame chawin likitjareonpong, paladesh kemisara, thiti mahayotaruk, napat chokejindachai, um apasiri nitibhon, skye nateeton wongrawee, narikun ketprapakorn, sirinya tantipongwatana, chutavuth pattarakampol, thanyanan pipatchaisiri, sirachuch chienthaworn, jirayus khawbaimai, gunn junhavat, pavadee komchokpaisan, nichaphat chatchaipholrat, natthida trichaiya, kanyawee songmuang, claudine craig, sarit trilertvichien, teeradon supapunpinyo, narupornkamol chaisang, atthaphan poonsawas, oabnithi wiwattanawarang",thailand,2014,tv 14,1,"international tv shows, tv horror, tv mysteries",a group of teens searches for the dark truth behind their school s mysterious and brutal history.,1
8575,0,this is my love,nan,"jin mo joo, sa rang kim, junior, ja in lee, sung hyun baek, so hui yoon",south korea,2015,tv 14,1,"international tv shows, korean tv shows, romantic tv shows","a renowned actor who is still pining over the loss of his first real love writes an autobiography about his memories of her, hoping to reconnect.",2
8576,1,this is not what i expected,derek hui,"takeshi kaneshiro, zhou dongyu, sun yizhou, ming xi, tony yang, lin chi ling",china,2017,tv pg,107,"comedies, international movies, romantic movies","romance and cuisine mix when a perpetually dissatisfied hotel executive finally encounters the perfect meal, and the sous chef that made it.",1
8578,1,thithi,raam reddy,"thammegowda s., channegowda, abhishek h.n., pooja, singri gowda","india, united states",2015,tv ma,123,"dramas, independent movies, international movies","in a south indian village, a centenarian s funeral brings together his free spirited son, inheritance hungry grandson and girl crazy great grandson.",3
8579,1,thong dee fun khao,bin bunluerit,"buakaw banchamek, sornsin maneewan, phutharit prombandal, nantawut boonrubsub, vannapoom songsuparp, chutirada junthit, jaran ngamdee, kochakorn nimakorn, rapeepat ekpankul, manop aswathep",thailand,2017,tv ma,122,"action adventure, international movies, sports movies","after losing a boxing match, a talented muay thai fighter leaves home to train with the best. on his quest, he finds friends, foes and lots of action.",1
8580,1,thor ragnarok,taika waititi,"chris hemsworth, tom hiddleston, cate blanchett, idris elba, jeff goldblum, tessa thompson, karl urban, mark ruffalo, anthony hopkins, benedict cumberbatch, taika waititi, rachel house, clancy brown, tadanobu asano, ray stevenson, zachary levi, luke hemsworth, sam neill",united states,2017,pg 13,131,"action adventure, comedies, sci fi fantasy","to save asgard from a bloodthirsty goddess of death, the mighty thor will have to battle his way to freedom and find a way back home.",2
8584,1,three,johnnie to,"louis koo, zhao wei, wallace chung, lam suet, lo hoi pang, eddie cheung, timmy hung, michael tse, raymond wong ho yin","hong kong, china",2016,tv ma,88,"action adventure, international movies","a master criminal engineers his own shooting during a police raid, then refuses treatment while awaiting rescue in a tense standoff at a hospital.",3
8585,1,three quarters decent,mohamed hamdy,"mohamed ragab, lamitta frangieh, mohsen mansour, rania mallah, madlyn tabar, mimi gamal, ahmed rateb, ahmed zaher",nan,2010,tv 14,96,"comedies, dramas, international movies","determined to fight corruption in his country, a newspaper cartoonist debuts a new take no prisoners attitude.",1
8586,1,thumper,jordan ross,"eliza taylor, pablo schreiber, daniel webber, lena headey, ben feldman, grant harvey, jazzy de lisser, brett rice",united states,2017,tv ma,93,"dramas, thrillers","after moving to a hardscrabble suburban california town, a young woman becomes dangerously entangled with a local drug enterprise.",2
8587,1,thunderbolt,"william wyler, john sturges","james stewart, lloyd bridges",united states,1947,tv pg,42,"classic movies, documentaries","a p 47 thunderbolt squadron is shown in preparation, at play and in bombing raids aiming to halt nazi supply lines and aid allied ground troops.",2
8588,0,tientsin mystic,nan,"li xian, zhang ming en, wang zixuan, chen yumi, tang yinuo, wei qing, yang shuming, chen jian, kang enhe, dong xiangrong",china,2017,tv 14,1,"crime tv shows, international tv shows, tv dramas","in an otherworldly river town, a policeman follows the trail of a sinister force to save his community from deadly spells.",1
